,density,time
0,799.5398226157034,0.0
1,795.2509651319917,0.016666666666666666
2,790.8847634077651,0.03333333333333333
3,786.6574235785775,0.05
4,782.7411870543247,0.06666666666666667
5,779.0741215992027,0.08333333333333333
6,775.5535683049364,0.1
7,771.9075016513095,0.11666666666666667
8,768.2806983207643,0.13333333333333333
9,765.1380535496171,0.15
10,762.0470276528484,0.16666666666666666
11,759.2199174018486,0.18333333333333332
12,756.4231618902592,0.2
13,753.5068850578989,0.21666666666666667
14,750.8237190701325,0.23333333333333334
15,748.4958271437374,0.25
16,745.882565778842,0.26666666666666666
17,743.1428198790682,0.2833333333333333
18,740.4778211436713,0.3
19,737.7261142530083,0.31666666666666665
20,735.1326339691484,0.3333333333333333
21,732.754166554609,0.35
22,730.4477012375818,0.36666666666666664
23,728.0081488048507,0.3833333333333333
24,725.7641064022168,0.4
25,723.9323266791727,0.4166666666666667
26,722.2999604730682,0.43333333333333335
27,720.8258737716313,0.45
28,719.5967752556375,0.4666666666666667
29,718.4031590884802,0.48333333333333334
30,717.2132655632009,0.5
31,716.2838342561382,0.5166666666666666
32,715.5218640590149,0.5333333333333333
33,715.0944255312435,0.55
34,714.6949914231467,0.5666666666666667
35,714.0478590151655,0.5833333333333334
36,713.0640252485261,0.6
37,711.8953132564997,0.6166666666666667
38,710.6685639064592,0.6333333333333333
39,708.9772480490759,0.65
40,706.784466929702,0.6666666666666666
41,704.3818026497576,0.6833333333333333
42,701.800960229045,0.7
43,699.0556434833094,0.7166666666666667
44,696.0832461371043,0.7333333333333333
45,692.7598125076647,0.75
46,689.2970986220154,0.7666666666666666
47,685.4136622486504,0.7833333333333333
48,681.1928978146226,0.8
49,676.8101976698815,0.8166666666666667
50,672.2215008460217,0.8333333333333334
51,667.6506747672265,0.85
52,663.2476835521002,0.8666666666666667
53,658.9920181313166,0.8833333333333333
54,654.7982446443253,0.9
55,650.7904149139682,0.9166666666666666
56,646.7647733211596,0.9333333333333333
57,642.6533073177096,0.95
58,638.6122912979968,0.9666666666666667
59,634.8408815236743,0.9833333333333333
60,631.3629896898275,1.0
61,627.8277629819464,1.0166666666666666
62,624.4352825508493,1.0333333333333332
63,620.9533029273092,1.05
64,617.5068777566061,1.0666666666666667
65,614.2479202257288,1.0833333333333333
66,610.8629759738152,1.1
67,607.6561969521725,1.1166666666666667
68,604.6404803741799,1.1333333333333333
69,601.6587102964539,1.15
70,598.8172189387211,1.1666666666666667
71,595.8354449777262,1.1833333333333333
72,592.6301928821033,1.2
73,589.2694781386384,1.2166666666666666
74,585.9798224470795,1.2333333333333334
75,582.7313197632849,1.25
76,579.2724677999947,1.2666666666666666
77,575.3651842806117,1.2833333333333332
78,571.7603635209538,1.3
79,568.2677816905065,1.3166666666666667
80,564.7106977314841,1.3333333333333333
81,561.1116970909135,1.35
82,557.4680383776915,1.3666666666666667
83,553.975885195054,1.3833333333333333
84,550.6183878263981,1.4
85,547.1395679570851,1.4166666666666667
86,543.8420586927851,1.4333333333333333
87,540.7465169871787,1.45
88,537.7575818612393,1.4666666666666666
89,534.6699808436465,1.4833333333333334
90,531.5933445576042,1.5
91,528.4768469790055,1.5166666666666666
92,525.2952057695204,1.5333333333333332
93,522.1849936930896,1.55
94,519.1151265541579,1.5666666666666667
95,515.9138788081752,1.5833333333333333
96,512.7909573926131,1.6
97,509.9097544116669,1.6166666666666667
98,507.05613434022916,1.6333333333333333
99,504.2979094654225,1.65
100,501.4186439007983,1.6666666666666667
101,498.345109431279,1.6833333333333333
102,495.2215921707131,1.7
103,492.28959444521286,1.7166666666666666
104,489.7447034291152,1.7333333333333334
105,487.1829409712496,1.75
106,484.5298569394665,1.7666666666666666
107,481.8877610438293,1.7833333333333332
108,479.09612631801815,1.8
109,476.1710562261643,1.8166666666666667
110,473.1378688980166,1.8333333333333333
111,470.1367923588297,1.8499999999999999
112,467.16762739736015,1.8666666666666667
113,464.2191540262099,1.8833333333333333
114,461.1976841866524,1.9
115,458.05290908823423,1.9166666666666667
116,454.57843709543715,1.9333333333333333
117,450.9099634203395,1.95
118,447.3873612460466,1.9666666666666666
119,443.9028673582116,1.9833333333333334
120,440.37949479374646,2.0
121,436.72319191974464,2.0166666666666666
122,432.9566430557127,2.033333333333333
123,429.2897686228462,2.05
124,425.6657548611499,2.0666666666666664
125,422.1464308336072,2.0833333333333335
126,418.6982121438714,2.1
127,415.15731330637243,2.1166666666666667
128,411.4876685121421,2.1333333333333333
129,407.9629331743651,2.15
130,404.5640490584383,2.1666666666666665
131,401.2935269622519,2.183333333333333
132,398.1215131111899,2.2
133,395.0019395355231,2.216666666666667
134,391.9456422854279,2.2333333333333334
135,388.7709027853535,2.25
136,385.5707124896675,2.2666666666666666
137,382.42621143607556,2.283333333333333
138,379.220508966659,2.3
139,376.01459878544426,2.3166666666666664
140,373.12216259249146,2.3333333333333335
141,370.20039111440093,2.35
142,367.41080789313787,2.3666666666666667
143,364.55508960999674,2.3833333333333333
144,361.56334959156254,2.4
145,358.43163785566486,2.4166666666666665
146,355.17719539921495,2.433333333333333
147,352.0823191263624,2.45
148,349.0069332015969,2.466666666666667
149,345.8317821620302,2.4833333333333334
150,342.7797308748561,2.5
151,339.65832022109294,2.5166666666666666
152,336.6150834995362,2.533333333333333
153,333.5429233473509,2.55
154,330.37324795607816,2.5666666666666664
155,326.9921563903908,2.5833333333333335
156,323.4142600348493,2.6
157,319.9984584009786,2.6166666666666667
158,316.7242225831652,2.6333333333333333
159,313.48397000127346,2.65
160,310.4049707996056,2.6666666666666665
