send day,send time,start,end
3,12:00,3.5,3.58333333333333
5,13:15,5.55208333333333,5.63541666666666
2,18:30,2.77083333333333,2.85416666666666
5,18:45,5.78125,5.86458333333333
3,10:00,3.41666666666667,3.5
3,17:30,3.72916666666667,3.8125
3,21:30,3.89583333333333,3.97916666666667
5,10:30,5.4375,5.52083333333333
4,18:15,4.76041666666667,4.84375
4,14:00,4.58333333333333,4.66666666666667
6,18:00,6.75,6.83333333333333
3,15:30,3.64583333333333,3.72916666666667
2,22:45,2.94791666666667,3.03125
2,14:00,2.58333333333333,2.66666666666667
