,density,time
0,365.96001216880825,0.0
1,366.6547528043072,0.016666666666666666
2,367.4031392589534,0.03333333333333333
3,368.16376106388884,0.05
4,368.75129371252376,0.06666666666666667
5,369.1776854952809,0.08333333333333333
6,369.6183838661491,0.1
7,370.1208121147811,0.11666666666666667
8,370.5973498991668,0.13333333333333333
9,370.9064163937678,0.15
10,371.0077907212808,0.16666666666666666
11,371.04894981616815,0.18333333333333332
12,371.0370651299852,0.2
13,371.0520386196169,0.21666666666666667
14,370.8935499322842,0.23333333333333334
15,370.72779848115357,0.25
16,370.70574212485747,0.26666666666666666
17,370.6226766360239,0.2833333333333333
18,370.4638362352575,0.3
19,370.23207304717704,0.31666666666666665
20,369.88722161129033,0.3333333333333333
21,369.35996968843364,0.35
22,368.82023387637605,0.36666666666666664
23,368.38577850016105,0.3833333333333333
24,368.0318311072121,0.4
25,367.5339104810118,0.4166666666666667
26,366.8793874693265,0.43333333333333335
27,366.1357829978923,0.45
28,365.4934252239522,0.4666666666666667
29,364.74138141020256,0.48333333333333334
30,364.0032972981578,0.5
31,363.31412551343516,0.5166666666666666
32,362.48798663842155,0.5333333333333333
33,361.9259928453349,0.55
34,361.73155600764335,0.5666666666666667
35,361.77097721219087,0.5833333333333334
36,361.6260088740986,0.6
37,361.46930824838694,0.6166666666666667
38,361.3376381673568,0.6333333333333333
39,361.3491155124636,0.65
40,361.2321917923015,0.6666666666666666
41,360.99034751238474,0.6833333333333333
42,360.93088818545084,0.7
43,360.8543732161943,0.7166666666666667
44,360.671398085021,0.7333333333333333
45,360.3915273858079,0.75
46,359.87619646538053,0.7666666666666666
47,359.36841012075837,0.7833333333333333
48,358.69324600324455,0.8
49,358.01477046804865,0.8166666666666667
50,357.4255751832304,0.8333333333333334
51,356.8269093466813,0.85
52,356.1104119047247,0.8666666666666667
53,355.364121772628,0.8833333333333333
54,354.48814473759165,0.9
55,353.4723866928606,0.9166666666666666
56,352.2320886555934,0.9333333333333333
57,350.99099398826104,0.95
58,349.99680739511587,0.9666666666666667
59,348.9749549761432,0.9833333333333333
60,347.9969972720537,1.0
61,347.0188897934888,1.0166666666666666
62,345.9442644901795,1.0333333333333332
63,344.9621628420667,1.05
64,344.2244043084289,1.0666666666666667
65,343.838278849385,1.0833333333333333
66,343.69816743288686,1.1
67,343.8094888202985,1.1166666666666667
68,343.9953085170872,1.1333333333333333
69,344.17036300794285,1.15
70,344.191878410927,1.1666666666666667
71,344.0209921092916,1.1833333333333333
72,343.5922963975111,1.2
73,343.0046578463079,1.2166666666666666
74,342.2862086086498,1.2333333333333334
75,341.5296722858025,1.25
76,340.66255841171875,1.2666666666666666
77,339.6103208155398,1.2833333333333332
78,338.6301566887293,1.3
79,337.59694048894585,1.3166666666666667
80,336.6173850122289,1.3333333333333333
81,335.62261464324513,1.35
82,334.5937015031133,1.3666666666666667
83,333.44394877359565,1.3833333333333333
84,332.2327998259662,1.4
85,331.09047821260236,1.4166666666666667
86,330.0313665108973,1.4333333333333333
87,328.8993970944177,1.45
88,327.7899771261913,1.4666666666666666
89,326.6370704138635,1.4833333333333334
90,325.39247697874674,1.5
91,324.0097734626516,1.5166666666666666
92,322.6611577203726,1.5333333333333332
93,321.23349574175967,1.55
94,319.77509571827244,1.5666666666666667
95,318.2049330640534,1.5833333333333333
96,316.55420973805855,1.6
97,314.98199946345574,1.6166666666666667
98,313.4908068456167,1.6333333333333333
99,312.0046437005735,1.65
100,310.4600033195831,1.6666666666666667
101,308.8735320089558,1.6833333333333333
102,307.2033146617517,1.7
103,305.33960688195066,1.7166666666666666
104,303.42650932193703,1.7333333333333334
105,301.58037389091055,1.75
106,299.6807591038944,1.7666666666666666
107,297.8325637715924,1.7833333333333332
108,295.87858892786164,1.8
109,293.7759242576353,1.8166666666666667
110,291.69225621381725,1.8333333333333333
111,289.6447902135502,1.8499999999999999
112,287.64025625501006,1.8666666666666667
113,285.4870677356024,1.8833333333333333
114,283.3336305709579,1.9
115,281.07490226414023,1.9166666666666667
116,278.79686854498,1.9333333333333333
117,276.3655830076994,1.95
118,274.0038401973415,1.9666666666666666
119,271.5578072500005,1.9833333333333334
120,268.92570218301347,2.0
121,266.30204810740656,2.0166666666666666
122,263.7238707754522,2.033333333333333
123,261.1803262624911,2.05
124,258.6653319497912,2.0666666666666664
125,256.1130061432624,2.0833333333333335
126,253.6750791918878,2.1
127,251.20820634974555,2.1166666666666667
128,248.59651263472261,2.1333333333333333
129,246.06093557309728,2.15
130,243.54320165208455,2.1666666666666665
131,241.11480738714718,2.183333333333333
132,238.9301452775309,2.2
133,236.92340563090139,2.216666666666667
134,235.0527396746149,2.2333333333333334
135,233.14158488366516,2.25
136,231.30227926707624,2.2666666666666666
137,229.57013692556936,2.283333333333333
138,227.9164876914954,2.3
139,226.18101430409462,2.3166666666666664
140,224.54114277511735,2.3333333333333335
141,223.05221504214518,2.35
142,221.53201733738464,2.3666666666666667
143,219.95757030629204,2.3833333333333333
144,218.32705786438447,2.4
145,216.7421805475129,2.4166666666666665
146,215.12412701519366,2.433333333333333
147,213.53640670584784,2.45
148,211.9427081064936,2.466666666666667
149,210.44244325164496,2.4833333333333334
150,209.0906671254835,2.5
151,207.72992644838436,2.5166666666666666
152,206.34520406892688,2.533333333333333
153,204.82872648865307,2.55
154,203.1344118812954,2.5666666666666664
155,201.37447839372228,2.5833333333333335
156,199.76755374723336,2.6
157,198.18477170240774,2.6166666666666667
158,196.55327066283186,2.6333333333333333
159,194.82820300095852,2.65
160,193.04643535378568,2.6666666666666665
